variant,ts,vram_used_mib,vram_free_mib,gpu_util_pct,ttft_ms_p50,ttft_ms_p95,itl_ms_p50,prompt_tokens_total,generation_tokens_total,throughput_tok_per_s,gpu_cache_usage_pct,n_scenarios,n_e2e_valid,e2e_mean_ms,e2e_p50_ms,e2e_max_ms
L0_baseline,2026-05-10T03:51:31Z,18268.0,4296.0,0.0,500.0,750.0,0,16911,3385,0.0,0,22,22,9436.938,5915.39,24725.03
L1_awq_w4a16_domain,2026-05-10T03:56:54Z,18264.0,4300.0,0.0,500.0,1000.0,0,16911,4831,0.0,0,22,22,4752.48,4312.36,8457.21
L1_awq_w4a16_generic,2026-05-10T04:01:52Z,18264.0,4300.0,0.0,500.0,750.0,0,16911,4726,0.0,0,22,22,4708.154,4355.53,8965.3
L3_image_512,2026-05-10T04:28:55Z,18266.0,4298.0,0.0,250.0,500.0,0,8733,3679,0.0,0,22,22,9919.616,7840.69,22991.52
L0_llama_baseline,2026-05-10T04:41:14Z,19876.0,2688.0,0.0,1000.0,2500.0,0,51768,2965,0.0,0,22,22,9203.37,9384.26,18053.35
L1_llama_awq_w4a16_domain,2026-05-10T04:46:13Z,19958.0,2606.0,0.0,1000.0,2500.0,0,51768,2885,0.0,0,22,22,3735.736,3308.55,8783.24
L1_llama_awq_w4a16_generic,2026-05-10T04:50:43Z,19958.0,2606.0,0.0,1000.0,2500.0,0,51768,2211,0.0,0,22,22,3157.314,3136.1,8589.81
L3_llama_image_512,2026-05-10T05:17:44Z,19876.0,2688.0,0.0,1000.0,2500.0,0,51768,2988,0.0,0,22,22,9277.798,9402.72,18063.23
L2_full_bundle,2026-05-10T06:21:29Z,19098.0,3466.0,0.0,500.0,750.0,0,16911,545,0.0,0,22,22,1999.841,1156.78,6461.47
L2_llama_full_bundle,2026-05-10T06:38:32Z,21170.0,1394.0,0.0,1000.0,2500.0,0,51768,2880,0.0,0,22,22,8860.37,9193.99,15591.03
